ptop1,ptop2,id
.029999999,.029999999,1
0,0,1
.046999998,.046999998,1
0,0,1
.018999999,.018999999,1
0,0,1
0,0,1
.046999998,.046999998,1
.426,.426,2
.257,.257,2
0,0,2
.045000002,.045000002,2
.083999999,.083999999,2
0,0,2
0,0,2
.73699999,.73699999,2
.107,.107,2
.015,.015,2
0,0,2
.147,.147,2
.030999999,.030999999,2
.147,.147,2
.0020000001,.0020000001,2
0,0,2
.147,.147,2
0,0,2
0,0,2
.186,.186,2
.017000001,.017000001,2
0,0,2
0,0,2
0,0,2
.0099999998,.0099999998,3
.28200001,.28200001,3
.028999999,.028999999,3
.037,.037,3
.044,.044,3
.043000001,.043000001,3
.0099999998,.0099999998,3
.021,.021,3
.043000001,.043000001,3
.028999999,.028999999,3
.227,.227,3
.059,.059,3
.039000001,.039000001,3
.021,.021,3
.28200001,.28200001,3
.044,.044,3
.039000001,.039000001,3
.044,.044,3
.043000001,.043000001,3
.033,.033,3
.028999999,.028999999,3
.037,.037,3
.028999999,.028999999,3
.039000001,.039000001,3
.227,.227,3
.227,.227,3
.021,.021,3
.033,.033,3
.033,.033,3
.043000001,.043000001,3
.059,.059,3
.043000001,.043000001,3
.059,.059,3
.28200001,.28200001,3
.021,.021,3
.039000001,.039000001,3
.039000001,.039000001,3
.044,.044,3
.227,.227,3
.039000001,.039000001,3
.043000001,.043000001,3
.227,.227,3
.037,.037,3
.059,.059,3
.0099999998,.0099999998,3
.043000001,.043000001,3
.037,.037,3
.059,.059,3
.037,.037,3
.021,.021,3
.0099999998,.0099999998,3
.044,.044,3
.044,.044,3
.0099999998,.0099999998,3
.033,.033,3
.028999999,.028999999,3
.059,.059,3
.021,.021,3
.28200001,.28200001,3
.033,.033,3
.043000001,.043000001,3
.039000001,.039000001,3
.037,.037,3
.043000001,.043000001,3
.033,.033,3
.021,.021,3
.043000001,.043000001,3
.28200001,.28200001,3
.043000001,.043000001,3
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,4
0,0,5
0,0,5
0,0,5
0,0,5
.012,.012,6
.0080000004,.0080000004,6
.012,.012,6
.022,.022,6
.012,.012,6
.0080000004,.0080000004,6
.022,.022,6
.0080000004,.0080000004,6
.012,.012,6
.0080000004,.0080000004,6
.012,.012,6
.022,.022,6
.0080000004,.0080000004,6
.022,.022,6
.012,.012,6
.0080000004,.0080000004,6
.0080000004,.0080000004,6
.022,.022,6
.022,.022,6
.022,.022,6
.012,.012,6
.0080000004,.0080000004,6
.012,.012,6
.022,.022,6
0,0,7
0,0,7
.017999999,.017999999,7
.001,.001,7
.0070000002,.0070000002,7
.001,.001,7
0,0,7
.098999999,.098999999,7
.119,.119,7
.017999999,.017999999,7
.017999999,.017999999,7
.014,.014,7
0,0,7
.0089999996,.0089999996,7
.266,.266,7
.098999999,.098999999,7
.039999999,.039999999,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
.018999999,.018999999,7
0,0,7
0,0,7
0,0,7
.257,.257,7
0,0,7
0,0,7
0,0,7
0,0,7
.001,.001,7
.90700001,.90700001,7
.296,.296,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
.014,.014,7
.039999999,.039999999,7
.0070000002,.0070000002,7
.0070000002,.0070000002,7
.90700001,.90700001,7
.001,.001,7
.001,.001,7
.001,.001,7
0,0,7
.29100001,.29100001,7
0,0,7
0,0,7
.039999999,.039999999,7
.266,.266,7
0,0,7
0,0,7
0,0,7
.0049999999,.0049999999,7
.015,.015,7
0,0,7
0,0,7
.0049999999,.0049999999,7
0,0,7
.098999999,.098999999,7
.027000001,.027000001,7
.014,.014,7
0,0,7
.0060000001,.0060000001,7
0,0,7
.001,.001,7
0,0,7
.0070000002,.0070000002,7
.0089999996,.0089999996,7
.0049999999,.0049999999,7
0,0,7
0,0,7
0,0,7
0,0,7
.015,.015,7
.27200001,.27200001,7
0,0,7
.138,.138,7
.075000003,.075000003,7
.075000003,.075000003,7
0,0,7
.40400001,.40400001,7
0,0,7
.041000001,.041000001,7
.075000003,.075000003,7
0,0,7
0,0,7
.001,.001,7
.041000001,.041000001,7
.0070000002,.0070000002,7
.018999999,.018999999,7
0,0,7
.40400001,.40400001,7
.039999999,.039999999,7
.001,.001,7
0,0,7
0,0,7
.0049999999,.0049999999,7
0,0,7
.29100001,.29100001,7
.0089999996,.0089999996,7
0,0,7
0,0,7
.015,.015,7
.296,.296,7
0,0,7
0,0,7
0,0,7
.041000001,.041000001,7
.014,.014,7
0,0,7
.014,.014,7
0,0,7
0,0,7
.098999999,.098999999,7
.098999999,.098999999,7
.027000001,.027000001,7
0,0,7
.018999999,.018999999,7
.0089999996,.0089999996,7
.059999999,.059999999,7
.138,.138,7
0,0,7
0,0,7
.018999999,.018999999,7
.81400001,.81400001,7
.001,.001,7
0,0,7
0,0,7
.119,.119,7
.81400001,.81400001,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
.015,.015,7
0,0,7
.0070000002,.0070000002,7
.0089999996,.0089999996,7
0,0,7
.119,.119,7
.257,.257,7
0,0,7
.059999999,.059999999,7
.039999999,.039999999,7
.27200001,.27200001,7
.018999999,.018999999,7
0,0,7
.0060000001,.0060000001,7
0,0,8
.001,.001,8
0,0,8
0,0,8
.001,.001,8
.37900001,.37900001,9
.0040000002,.0040000002,9
0,0,9
0,0,9
0,0,9
0,0,9
.0040000002,.0040000002,9
.003,.003,9
.003,.003,9
0,0,9
.0040000002,.0040000002,9
.37900001,.37900001,9
.003,.003,9
.035,.035,9
0,0,9
.0089999996,.0089999996,9
.29899999,.29899999,9
.89899999,.89899999,9
.003,.003,9
.035,.035,9
0,0,9
