ptop1,ptop2,id
.0099999998,.0099999998,1
.28200001,.28200001,1
.028999999,.028999999,1
.037,.037,1
.044,.044,1
.043000001,.043000001,1
.0099999998,.0099999998,1
.021,.021,1
.043000001,.043000001,1
.028999999,.028999999,1
.227,.227,1
.059,.059,1
.039000001,.039000001,1
.021,.021,1
.28200001,.28200001,1
.044,.044,1
.039000001,.039000001,1
.044,.044,1
.043000001,.043000001,1
.033,.033,1
.028999999,.028999999,1
.037,.037,1
.028999999,.028999999,1
.039000001,.039000001,1
.227,.227,1
.227,.227,1
.021,.021,1
.033,.033,1
.033,.033,1
.043000001,.043000001,1
.059,.059,1
.043000001,.043000001,1
.059,.059,1
.28200001,.28200001,1
.021,.021,1
.039000001,.039000001,1
.039000001,.039000001,1
.044,.044,1
.227,.227,1
.039000001,.039000001,1
.043000001,.043000001,1
.227,.227,1
.037,.037,1
.059,.059,1
.0099999998,.0099999998,1
.043000001,.043000001,1
.037,.037,1
.059,.059,1
.037,.037,1
.021,.021,1
.0099999998,.0099999998,1
.044,.044,1
.044,.044,1
.0099999998,.0099999998,1
.033,.033,1
.028999999,.028999999,1
.059,.059,1
.021,.021,1
.28200001,.28200001,1
.033,.033,1
.043000001,.043000001,1
.039000001,.039000001,1
.037,.037,1
.043000001,.043000001,1
.033,.033,1
.021,.021,1
.043000001,.043000001,1
.28200001,.28200001,1
.043000001,.043000001,1
.012,.012,2
.0080000004,.0080000004,2
.012,.012,2
.022,.022,2
.012,.012,2
.0080000004,.0080000004,2
.022,.022,2
.0080000004,.0080000004,2
.012,.012,2
.0080000004,.0080000004,2
.012,.012,2
.022,.022,2
.0080000004,.0080000004,2
.022,.022,2
.012,.012,2
.0080000004,.0080000004,2
.0080000004,.0080000004,2
.022,.022,2
.022,.022,2
.022,.022,2
.012,.012,2
.0080000004,.0080000004,2
.012,.012,2
.022,.022,2
0,0,3
0,0,3
.017999999,.017999999,3
.001,.001,3
.0070000002,.0070000002,3
.001,.001,3
0,0,3
.098999999,.098999999,3
.119,.119,3
.017999999,.017999999,3
.017999999,.017999999,3
.014,.014,3
0,0,3
.0089999996,.0089999996,3
.266,.266,3
.098999999,.098999999,3
.039999999,.039999999,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
.018999999,.018999999,3
0,0,3
0,0,3
0,0,3
.257,.257,3
0,0,3
0,0,3
0,0,3
0,0,3
.001,.001,3
.90700001,.90700001,3
.296,.296,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
.014,.014,3
.039999999,.039999999,3
