ptop1,ptop2,id
.029999999,.029999999,1
0,0,1
.046999998,.046999998,1
0,0,1
.018999999,.018999999,1
0,0,1
0,0,1
.046999998,.046999998,1
.426,.426,2
.257,.257,2
0,0,2
.045000002,.045000002,2
.083999999,.083999999,2
0,0,2
0,0,2
.73699999,.73699999,2
.107,.107,2
.015,.015,2
0,0,2
.147,.147,2
.030999999,.030999999,2
.147,.147,2
.0020000001,.0020000001,2
0,0,2
.147,.147,2
0,0,2
0,0,2
.186,.186,2
.017000001,.017000001,2
0,0,2
0,0,2
0,0,2
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,4
0,0,4
0,0,4
0,0,4
0,0,5
.001,.001,5
0,0,5
0,0,5
.001,.001,5
0,0,6
0,0,6
.176,.176,6
.045000002,.045000002,6
0,0,6
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
0,0,7
.064999998,.064999998,7
0,0,7
.84399998,.84399998,7
.97399998,.97399998,7
.001,.001,7
.75700003,.75700003,7
.49000001,.49000001,7
0,0,7
.32499999,.32499999,7
.45199999,.45199999,7
0,0,7
.52399999,.52399999,7
0,0,7
0,0,7
.001,.001,7
.046999998,.046999998,7
.26699999,.26699999,7
.2,.2,7
0,0,7
.579,.579,7
.061999999,.061999999,7
0,0,7
.71799999,.71799999,7
.25099999,.25099999,7
0,0,7
0,0,7
.0020000001,.0020000001,7
0,0,7
.13699999,.13699999,7
0,0,7
.69199997,.69199997,7
0,0,7
0,0,7
.389,.389,7
.27700001,.27700001,7
0,0,7
0,0,7
.824,.824,7
.044,.044,7
.124,.124,7
0,0,7
0,0,7
.097000003,.097000003,8
.093000002,.093000002,8
.093000002,.093000002,8
.958,.958,8
.097000003,.097000003,8
.958,.958,8
.958,.958,8
.097000003,.097000003,8
.093000002,.093000002,8
.093000002,.093000002,8
.093000002,.093000002,8
.097000003,.097000003,8
.958,.958,8
.958,.958,8
.097000003,.097000003,8
0,0,9
0,0,9
.108,.108,9
0,0,9
.028999999,.028999999,9
0,0,9
0,0,9
0,0,9
.044,.044,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
.003,.003,9
.035,.035,9
0,0,9
0,0,9
.12800001,.12800001,9
0,0,9
.045000002,.045000002,9
.045000002,.045000002,9
0,0,9
.035,.035,9
0,0,9
0,0,9
.033,.033,9
.12800001,.12800001,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
0,0,9
.033,.033,9
0,0,9
.044,.044,9
0,0,9
0,0,9
.229,.229,10
.229,.229,10
.011,.011,10
.229,.229,10
.0049999999,.0049999999,10
.011,.011,10
.011,.011,10
.0049999999,.0049999999,10
.001,.001,10
.0049999999,.0049999999,10
.0020000001,.0020000001,11
.0089999996,.0089999996,11
.0020000001,.0020000001,11
.0020000001,.0020000001,11
.017999999,.017999999,11
.0020000001,.0020000001,11
.0089999996,.0089999996,11
.25600001,.25600001,11
.25600001,.25600001,11
.0020000001,.0020000001,11
.25600001,.25600001,11
.0020000001,.0020000001,11
.07,.07,12
0,0,12
.0080000004,.0080000004,12
.0080000004,.0080000004,12
0,0,12
.122,.122,12
.057,.057,12
0,0,12
.012,.012,12
.057,.057,12
.07,.07,12
0,0,12
0,0,12
0,0,12
.012,.012,12
.001,.001,12
.001,.001,12
.199,.199,12
.122,.122,12
0,0,12
0,0,12
.61500001,.61500001,13
.030999999,.030999999,13
0,0,13
.51499999,.51499999,13
.49000001,.49000001,13
.19,.19,13
.41,.41,13
.76999998,.76999998,13
.83200002,.83200002,13
.21600001,.21600001,13
.197,.197,13
.0060000001,.0060000001,13
.068000004,.068000004,13
.49900001,.49900001,13
.82999998,.82999998,13
.58999997,.58999997,13
.63099998,.63099998,13
.001,.001,13
.87400001,.87400001,13
.67500001,.67500001,13
.63099998,.63099998,13
.54100001,.54100001,13
.0080000004,.0080000004,13
.192,.192,13
.80000001,.80000001,13
.030999999,.030999999,13
.736,.736,13
.204,.204,13
.49000001,.49000001,13
.87,.87,13
.017000001,.017000001,13
.53100002,.53100002,13
.093999997,.093999997,13
.85900003,.85900003,13
.403,.403,13
.19599999,.19599999,13
.31299999,.31299999,13
.003,.003,13
.61000001,.61000001,13
.76999998,.76999998,13
.87400001,.87400001,13
.113,.113,13
.61500001,.61500001,13
.77100003,.77100003,13
.736,.736,13
.028000001,.028000001,13
.030999999,.030999999,13
.014,.014,13
.42300001,.42300001,13
.19599999,.19599999,13
.19,.19,13
.243,.243,13
.80000001,.80000001,13
.88099998,.88099998,13
.63099998,.63099998,13
.21600001,.21600001,13
.64099997,.64099997,13
.093999997,.093999997,13
.58999997,.58999997,13
.78100002,.78100002,13
.43799999,.43799999,13
.49000001,.49000001,13
.0089999996,.0089999996,13
.068000004,.068000004,13
.003,.003,13
.082000002,.082000002,13
.65200001,.65200001,13
.79799998,.79799998,13
.028000001,.028000001,13
.56300002,.56300002,13
.87400001,.87400001,13
.58700001,.58700001,13
.41,.41,13
.67500001,.67500001,13
.76999998,.76999998,13
.53500003,.53500003,13
.403,.403,13
.49900001,.49900001,13
.58700001,.58700001,13
.192,.192,13
.003,.003,13
.67500001,.67500001,13
.0060000001,.0060000001,13
.79400003,.79400003,13
.949,.949,13
.42300001,.42300001,13
.017000001,.017000001,13
.55699998,.55699998,13
.113,.113,13
.204,.204,13
.31299999,.31299999,13
.36000001,.36000001,13
.86900002,.86900002,13
.49000001,.49000001,13
.082000002,.082000002,13
.56300002,.56300002,13
.197,.197,13
.65200001,.65200001,13
.003,.003,13
.64099997,.64099997,13
.53500003,.53500003,13
.736,.736,13
.736,.736,13
.55699998,.55699998,13
.030999999,.030999999,13
.51499999,.51499999,13
.0080000004,.0080000004,13
.243,.243,13
